Ubigeo|Departamento|Provincia|Distrito|Codigo|distrito_det|FlgZona|CENTROSNEGOCIO|FLGPROVCENTROSNEGOCIO|distrito_agg|FlgCiudad|
010101|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|010101|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010102|AMAZONAS|CHACHAPOYAS|ASUNCION|010102|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010103|AMAZONAS|CHACHAPOYAS|BALSAS|010103|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010104|AMAZONAS|CHACHAPOYAS|CHETO|010104|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010105|AMAZONAS|CHACHAPOYAS|CHILIQUIN|010105|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010106|AMAZONAS|CHACHAPOYAS|CHUQUIBAMBA|010106|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010107|AMAZONAS|CHACHAPOYAS|GRANADA|010107|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010108|AMAZONAS|CHACHAPOYAS|HUANCAS|010108|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010109|AMAZONAS|CHACHAPOYAS|LA JALCA|010109|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010110|AMAZONAS|CHACHAPOYAS|LEYMEBAMBA|010110|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010111|AMAZONAS|CHACHAPOYAS|LEVANTO|010111|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010112|AMAZONAS|CHACHAPOYAS|MAGDALENA|010112|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010113|AMAZONAS|CHACHAPOYAS|MARISCAL CASTILLA|010113|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010114|AMAZONAS|CHACHAPOYAS|MOLINOPAMPA|010114|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010115|AMAZONAS|CHACHAPOYAS|MONTEVIDEO|010115|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010116|AMAZONAS|CHACHAPOYAS|OLLEROS|010116|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010117|AMAZONAS|CHACHAPOYAS|QUINJALCA|010117|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010118|AMAZONAS|CHACHAPOYAS|SAN FRANCISCO DE DAGUAS|010118|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010119|AMAZONAS|CHACHAPOYAS|SAN ISIDRO DE MAINO|010119|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010120|AMAZONAS|CHACHAPOYAS|SOLOCO|010120|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010121|AMAZONAS|CHACHAPOYAS|SONCHE|010121|CHACHAPOYAS|PROV|||CHACHAPOYAS|1|
010201|AMAZONAS|BAGUA|LA PECA|010206|BAGUA|PROV|Bagua Grande||BAGUA|0|
010202|AMAZONAS|BAGUA|ARAMANGO|010202|BAGUA|PROV|||BAGUA|0|
010203|AMAZONAS|BAGUA|COPALLIN|010203|BAGUA|PROV|||BAGUA|0|
010204|AMAZONAS|BAGUA|EL PARCO|010204|BAGUA|PROV|||BAGUA|0|
010205|AMAZONAS       |BAGUA                         |BAGUA                         |010201|BAGUA                         |PROV|||BAGUA                         |0|
010206|AMAZONAS|BAGUA|IMAZA|010205|BAGUA|PROV|||BAGUA|0|
010301|AMAZONAS|BONGARA|JUMBILLA|010301|BONGARA|PROV|||BONGARA|0|
010302|AMAZONAS|BONGARA|COROSHA|010304|BONGARA|PROV|||BONGARA|0|
010303|AMAZONAS|BONGARA|CUISPES|010305|BONGARA|PROV|||BONGARA|0|
010304|AMAZONAS|BONGARA|CHISQUILLA|010302|BONGARA|PROV|||BONGARA|0|
010305|AMAZONAS|BONGARA|CHURUJA|010303|BONGARA|PROV|||BONGARA|0|
010306|AMAZONAS|BONGARA|FLORIDA|010306|BONGARA|PROV|||BONGARA|0|
010307|AMAZONAS|BONGARA|RECTA|010308|BONGARA|PROV|||BONGARA|0|
010308|AMAZONAS|BONGARA|SAN CARLOS|010309|BONGARA|PROV|||BONGARA|0|
010309|AMAZONAS|BONGARA|SHIPASBAMBA|010310|BONGARA|PROV|||BONGARA|0|
010310|AMAZONAS|BONGARA|VALERA|010311|BONGARA|PROV|||BONGARA|0|
010311|AMAZONAS|BONGARA|YAMBRASBAMBA|010312|BONGARA|PROV|||BONGARA|0|
010312|AMAZONAS|BONGARA|JAZAN|010307|BONGARA|PROV|||BONGARA|0|
010401|AMAZONAS|LUYA|LAMUD|010501|LUYA|PROV|||LUYA|0|
010402|AMAZONAS|LUYA|CAMPORREDONDO|010502|LUYA|PROV|||LUYA|0|
010403|AMAZONAS|LUYA|COCABAMBA|010503|LUYA|PROV|||LUYA|0|
010404|AMAZONAS|LUYA|COLCAMAR|010504|LUYA|PROV|||LUYA|0|
010405|AMAZONAS|LUYA|CONILA|010505|LUYA|PROV|||LUYA|0|
010406|AMAZONAS|LUYA|INGUILPATA|010506|LUYA|PROV|||LUYA|0|
010407|AMAZONAS|LUYA|LONGUITA|010507|LUYA|PROV|||LUYA|0|
010408|AMAZONAS|LUYA|LONYA CHICO|010508|LUYA|PROV|||LUYA|0|
010409|AMAZONAS|LUYA|LUYA|010509|LUYA|PROV|||LUYA|0|
010410|AMAZONAS|LUYA|LUYA VIEJO|010510|LUYA|PROV|||LUYA|0|
010411|AMAZONAS|LUYA|MARIA|010511|LUYA|PROV|||LUYA|0|
010412|AMAZONAS|LUYA|OCALLI|010512|LUYA|PROV|||LUYA|0|
010413|AMAZONAS|LUYA|OCUMAL|010513|LUYA|PROV|||LUYA|0|
010414|AMAZONAS|LUYA|PISUQUIA|010514|LUYA|PROV|||LUYA|0|
010415|AMAZONAS|LUYA|SAN CRISTOBAL|010516|LUYA|PROV|||LUYA|0|
010416|AMAZONAS|LUYA|SAN FRANCISCO DE YESO|010517|LUYA|PROV|||LUYA|0|
010417|AMAZONAS|LUYA|SAN JERONIMO|010518|LUYA|PROV|||LUYA|0|
010418|AMAZONAS|LUYA|SAN JUAN DE LOPECANCHA|010519|LUYA|PROV|||LUYA|0|
010419|AMAZONAS|LUYA|SANTA CATALINA|010520|LUYA|PROV|||LUYA|0|
010420|AMAZONAS|LUYA|SANTO TOMAS|010521|LUYA|PROV|||LUYA|0|
010421|AMAZONAS|LUYA|TINGO|010522|LUYA|PROV|||LUYA|0|
010422|AMAZONAS|LUYA|TRITA|010523|LUYA|PROV|||LUYA|0|
010423|AMAZONAS|LUYA|PROVIDENCIA|010515|LUYA|PROV|||LUYA|0|
010501|AMAZONAS|RODRIGUEZ DE MENDOZA|SAN NICOLAS|010601|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010502|AMAZONAS|RODRIGUEZ DE MENDOZA|COCHAMAL|010603|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010503|AMAZONAS|RODRIGUEZ DE MENDOZA|CHIRIMOTO|010602|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010504|AMAZONAS|RODRIGUEZ DE MENDOZA|HUAMBO|010604|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010505|AMAZONAS|RODRIGUEZ DE MENDOZA|LIMABAMBA|010605|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010506|AMAZONAS|RODRIGUEZ DE MENDOZA|LONGAR|010606|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010507|AMAZONAS|RODRIGUEZ DE MENDOZA|MILPUCC|010608|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010508|AMAZONAS|RODRIGUEZ DE MENDOZA|MARISCAL BENAVIDES|010607|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010509|AMAZONAS|RODRIGUEZ DE MENDOZA|OMIA|010609|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010510|AMAZONAS|RODRIGUEZ DE MENDOZA|SANTA ROSA|010610|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010511|AMAZONAS|RODRIGUEZ DE MENDOZA|TOTORA|010611|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010512|AMAZONAS|RODRIGUEZ DE MENDOZA|VISTA ALEGRE|010612|RODRIGUEZ DE MENDOZA|PROV|||RODRIGUEZ DE MENDOZA|0|
010601|AMAZONAS|CONDORCANQUI|NIEVA|010401|CONDORCANQUI|PROV|||CONDORCANQUI|0|
010602|AMAZONAS|CONDORCANQUI|RIO SANTIAGO|010403|CONDORCANQUI|PROV|||CONDORCANQUI|0|
